Ayssi comensan las paraulas de Albucasim .	Aysa started learning the language of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you have completed this book, which is the last of the medical science series, in honor of your birth and for all that you have learned from it, I deem it fitting to present you with this treatise on surgery - a part of my own work.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work has been laid waste in our realm and during our times, being wholly deprived of it; so little attention is given to the science of it, and its knowledge and practice are preserved only in small descriptions in the books of the Ancients, which have altered them greatly, leading to errors and heresies into which they have fallen and the essence and art has been lost.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you require the revival of this treatise in accordance with its exposure and declaration methods as well as abridgment; along with ensuring it comes with tools for sealing (cautery) and other instruments for work as per addition to the declaration, which is necessary preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Mays la causa per cui non è atrovat che un artista sia davanti al nostro tempo, è perché l'arte della medicina è lunga e richiede all'artista di essere esercitato nella scienza dell'anatomia, come Gualterus ha saputo le giustapposizioni dei membri e delle forme corporee, la congiunzione e la separazione tra loro; ed era esperto negli ossi, nei nervi e nelle vene, nei nomi di quelli, nella loro struttura; ed anche sulle vene pulsanti e quelle tranquille e sugli spostamenti del sangue.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	PER AQUO DIZ YPORCRA: QUE OU LHE NÃO HAVEREM DE TEMOR; MAIS EM A TARDE, E MENOS EN EL TRABALHO PEQUENO, E MAIS ANTES NO ARTE GRANDE.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introduction of this book, we have mentioned about it; for those who are not knowledgeable in anatomy will likely fall into errors causing many people to die, as I have seen too much, because they claim to be trained in this science and rely solen on that scientific knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a physician and it happened that he had caused an abscess in the neck of a woman, leading to some ruptured arteries causing a great amount of blood flowing inside her which ultimately resulted in the woman's death among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I will tell you another parable that is somewhat similar to the one about the traitorous servant and the stone. There was a man who had processed in his estate (which means he had faced many challenges or hardships) and the stone he lifted was very large, and as he walked with it, it tore at a piece of his flesh. As a result, that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	The year ago I heard the news that she had gone abroad, and I knew from the size of the rock and the condition of her illness that she would not survive.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	In our land there was another surgeon who received a fee of one ducat to perform surgery; and when he came upon the black cyst which was causing him pain in his leg, the surgeon used his ignorance, tore open the cyst on the pillow with forceps and bandages, but did not remove it properly from its root.
