Ayssi comensan las paraulas de Albucasim .	Aysse learns the words from Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Dear sons, as you have completed this book, which is the last in the science of medicine, for your own benefit and growth, and for my satisfaction at your achievement, I believe it fitting to offer you this treatise, part of the work that has been done by me, on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work has been laid to rest in our realm and during our times, being completely privatized, until it was rediscovered by him; only a few small descriptions of them can be found in the books of the ancients, which changed most and led to those errors and heresies that are closed within themselves the intentions of it and its strength is elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you want to revive this order of the treatise according to the method of exposition and declaration and abbreviation; so it comes in those forms of tools for binding and other instruments of work as is due by virtue of the explanation and also preparation thereof, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why this art is not forgotten today is because the art of medicine has been lengthy and it requires its practitioners to be trained in the science of anatomy, which Gualterus stated he knew how to identify the movements and shapes of the limbs, their connection and separation, as well as having knowledge about bones, nerves, and muscles. He also had names for these body parts and understood their functions; along with understanding pulsating veins and quiet ones, and locations where bodily fluids are expelled from them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	PER AQUO DIZ Ypocras QUE AH MU NOM ES MOT, MAYS EN L'OBRA PITTIT E MAGREMENT EN LA ART DE LA MA.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introduction to this book, we have said that those who are not knowledgeable in anatomy may fall into errors which could lead people to their deaths, as I myself have witnessed too many times; for they claim to be experts in this science and then disregard everything they learned.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a wise physician and he was about to induce an abscess of the cervix in a woman, causing some vessels of her neck through which great blood flowed that resulted in the woman dying amongst many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	A man passed by and noticed another carpenter who was carrying a stone from the burial of a deceased person; the stone was large. He approached and lifted that heavy stone with just one hand, causing it to crack at its base on the third day after which the deceased's body began to decompose.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	In that year I heard of the stone being extracted, and I knew from its size and the disposition of the illness it would surely cause death.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Another surgeon from our land received a stipend of one ducat per surgery and was treating a black crust on the patient's leg which had been caused by a fracture; however, due to his ignorance, the surgeon aggravated the fracture, placing it over a pillow with straps and levers under excessive tension, causing further damage instead of healing.
