Ayssi comensan las paraulas de Albucasim .	Aysa learns words from Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you have completed this book, which is the last of the medical science series, to honor your father for his achievement in this field and for his insights presented herein, it seems fitting that I dedicate this treatise to you. It constitutes a portion of my own work on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operacio (operation) of which you speak has been completely obscured in our realm and during these times, totally isolated until the science of it was discovered; but only a few small descriptions remained in the books of the Ancients, which changed most and led to those errors and superstitions within which are closed the intentions of it, and its essence has been extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I believe that you are reviving the art of this treatise by means of exposition and declaration and abbreviation; so as to come closer to the forms of tools used in joinery and other instruments for work, with due regard for both explanation and preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In the case for which it is not outdated or an art by Mays, the reason why the artist should be trained in this our time before this stage of medicine, since the art of medicine has become extensive, and that its actor must exercise themselves in the science of anatomy, as Guaillard recounts that he knew how to know the movements of limbs and their shapes, and the union and separation of them; and had knowledge of bones, nerves, and ligaments, along with their names and strength; about arteries pulsating and quiet ones, and places where blood flows from them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"According to Hippocrates, water is the essence of life and plays a greater role in our body than in any other element."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introduction to this book, we have said that if you are not acquainted with anatomy, beware of falling into error from which many people will die, as I myself have seen too much of those who boast about their education in this science and knowledge but fail in applying it properly through experimentation.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a surgeon cutting the head of a woman and causing an abscess on her throat; as a result, some blood vessels in her neck burst, allowing a large amount of blood to flow into it which caused the woman to die instantly among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	A man passed by and saw another merchant who was carrying a stone of a man who had died in his presence; the stone was large, and he brought it to him and placed that stone atop his chest on the third day after which the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	In that moment, I realized through the size of the stone and the disposition of the injury how it would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	In our land there was another doctor who received pay of a duke to perform surgery, and after a black knife that caused the fracture during its use; however, because of the surgeon's ignorance, he aggravated the fancied fracture, using pillows and splints with excessive tension, instead of setting it properly.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The Lord has allowed us to follow our desires and live according to the laws of old for many days and commands that we stay away from idolatric practices; however, so ingrained were these habits that they led to disaster, eventually bringing ruin upon ourselves.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	Once upon a time, there was a young girl who longed to escape her life and find solace in the pages of books, where she discovered peace and relief from her sorrows.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the infection was already confirmed within the limb, so he could not prevent that spread of infection throughout the affected area to avoid further complications.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain physician caused an abscess to burst cancerously and become ulcerated nearby the shin-bone within two days, during which time the evil of his lord greatly increased.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The main cause of this melancholcuous man is not that he hasn't achieved all his goals in life, but rather that he feels rejected by everyone around him.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	E per aquo, fils, necessaris es a vos que l'operació am sia divisa en dues devesies: son és l'operació relacionada amb la salut i alhora el treball en què hi ha risc en els majors dissenys.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	In this text written in Occitan language from the Middle Aero period (12th century), it seems to be a decree or legal statement related to water rights and land usage within a certain territory. The speaker is instructing others to respect these established laws, cautioning against fears and errors that may lead people astray.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Thus, take up your arms for the cause and in God's protection; may your sick find healing and strength to overcome.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	We use the best path leading to the grace of God for those who are lost in salvation and blessed continuity, and we remove terribly difficult illnesses with hard-to-cure afflictments, as well as your weapons of fire which make you tremble. So that you may remain steadfast in your faith and in your name so that it does not abandon you: for more remains to your glory, and then either in heaven or at the feet of your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	"Gualia jà dissec'n algunas de sus moniciones:"
