Ayssi comensan las paraulas de Albucasim .	I start learning words from Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you have completed this book, which is the last of the science of medicine, in honor of your birth and for all that I have learned from you, it seems to me fitting to dedicate this treatise to you, a part of my work on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation is indeed no longer carried out in our realm and time, being completely privatized; so few have witnessed it nowadasters of this kind are only found in small descriptions in the books of the Ancients, which changed most into those errors and heresies that resulted in closing the sentences about them and stretching their use.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I believe that you have lived out the instructions of this treatise according to the method of explanation and declaration and abbreviation; so that it comes in accordance with the forms of caulking tools and other work instruments as added by way of clarification, and for preparation purposes. This cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which this work is not atrocious by an artist, in our times, is because the art of medicine has become long and complex; however, it requires its practitioner to be trained in the science of anatomy as Gualterus states that he knew how to distinguish body parts, their shapes, their connections, and separations. He also had knowledge about bones, nerves, tendons, along with their names, strengths, veins pulsating or quieting down, and areas through which blood flows.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	Here is the translation of the text from Occitan to English: "In every drop of water there is a bit of me; more so in my work than elsewhere, especially in the art of wine."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introductvee of this book, we have said that those who are not knowledgeable in this subject might fall into error and cause deaths; as I have seen too many cases where people were taught but lacked true understanding in anatomy.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Upon seeing a folded sheet and hearing about an abscess of the Bartholin'cups in the neck of a woman, I decided to incise some arteries near it so that large amounts of blood flowed out which caused the woman to die within minutes.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	A certain mage told me that there was another magician who had the power to turn stones into men of flesh and blood. He brought a large stone from one man who had died in his sleep, and as he touched it with his magic, the stone began to pulsate and take on human form.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"I heard that you wanted to remove that stone, and I knew by the size of the rock and the condition of your illness that it would lead to death."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Another physician who took fees from a duke of our land for surgery; and when treating the same black fracture in his leg, he made preparations with ignorance - stretching it over pillows and boards using strong traction, but failed to set the bone correctly.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The Lord guided me according to my wishes and aspirations, and he commanded that I depart from the pacts and laws of others; thus, so intent on power, it led us into destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And he gave thanks to God, then let down his burden, and found peace and relief from his troubles.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the infection was already confirmed in the limb, so he could not stop that and prevent the spread of infection within the affected area where the painful condition persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain physician caused an abscess to become cancerous and develop into an ulcer near the scrotum, during which time the foulness of his lord increased greatly.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason why people sometimes feel melanchol cuz the crown causes them to be unable to find happiness in everything, but rather they become members who experience that nothing is tolerable anymore.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	EPA regulations require that the operation be divided into two categories: one associated with health and another involving potential risk in major procedures.
