Ayssi comensan las paraulas de Albucasim .	Aysa learns the words of Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you complete this book, which is the last of the medical science series, in honor of your coming of age and for your enlightennment from its contents and explanations, I believe it fitting that we present to you this treatise, a part of my own work on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work of which I am now lying prostrate in our realm and at this time has been totally privated, until they took great interest in it; and only some small descriptions remained in the books of antiquity, those were changed most of all, and ended up with errors and heresies to such an extent that their essence is concealed and the truth of them prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you wish to bring this treatise into life by following the guidelebased on exposition and declaration as well as abridgment; and for it to be in accordance with the forms of tools and instruments used for welding, and other equipment related to the job, through the addition of the declaration and preparation necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"Mays causeth the reason why a craftsman is not exempt from practice in our present time, because the art of medicine is longstanding, and it demands its actor to be exercised in the science of anatomy; which Galen did know that he understood the movements and shapes of those parts, their conjunction and separation, knowledge of bones, nerves, and ligaments, as well as their names and functions, and also knew about veins pulsing and non-pulsing, and locations of blood flow."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	The phrase "E per aquo Ditz Ypocres qui'am vostre nom est, mai senglar en lo obra petit, e mayormenz en la arte de la mar" is written in Occitan (also known as Provençal), a Romance language spoken in the southern regions of France.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introductamo of this book, we have mentioned that those who are not knowledgeable in anatomy may fall into error and cause deaths; as I have witnessed many times, these individuals claim to be trained in this science but lack understanding from their education and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I found a written account by Vincent van Gogh in which he describes having an abscess on the neck of a woman, causing some arteries to bleed severely and leading to her death within hours or days.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	A merchant who was passing by saw a man being beaten with a stone from another man who had committed the sin in his lifetime; the stone was large, and he approached it and lifted that stone as lightly as possible, so that on the third day, that man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	The name of this stone shall be called "Fortune's Fickle Stone," and I realize that due to the size of the rock and the position of my illness, it seems destined for death.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A certain surgeon in our land received remuneration of one ducat for surgery; and afterward to a black crust that had resulted from the fracture on his leg - he prepared. The surgeon, however, due to ignorance, improperly set the fracture above the plague, using pillows and splints with excessive tension, and failed to address the plague's spreading infection properly.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The Lord should guide our steps according to His own will and purpose, leading us through hardships and trials on some days; let it be as He wishes, that we may escape the snare of evil and reach salvation in due time.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	The evening fell upon the sky as she called me up to it and unfolded my wings; I achieved serenebility and immaterial relief from her pains.
