Ayssi comensan las paraulas de Albucasim .	Aysa understands the words from Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, as you have completed this book, which is the last of the medical science series, for your own sake and in celebration of your birth to me, and for your contributions throughout, I believe that you should present this treatise to us, which is a part of my work on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The art and science of geometry were once completely suppressed in our realm and during our time, entirely privatized so that only a few learned it, and their views on it remained; but not many descriptions of it can be found in the books of the Ancients, which transformed most, leading to errors and heresies through which its essence has been concealed and its strength diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you intend to enliven this decree of the treatise following the way of exposition and declaration and abbreviation; and so it comes in accordance with the forms of the instruments of cautery as well as with other tools of work, through the addition by means of the declaration, and for the preparation thereof, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Mays the cause for which a poet is not blamed by art in our times, lies in the fact that the art of medicine has grown long, and its practitioner must be skilled in the science of anatomy - knowledge that Galen possessed about limbs' movements, their shapes; joints and separations of these parts; awareness of bones, nerves, and muscles, as well as names and structure of them; and also understanding of pulse-bearing veins and stationary ones, and the locations of their discharges.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	PER AQUO DIZ Ypocras QUE AH MON NOM ES MOCT, MAISEN EN LA OBRIT PETITE E MAISTRALMENT EN L'ART DE LA MA.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the opening lines of this book, we have mentioned to you about Anatomy; those who are not knowledgeable in this field might fall into errors which could cause people's deaths, as I have seen with many individuals who were taught in this science but later forgot it.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I came across a medical document referring to an episode where a woman developed erysipelas in the neck region, and as a result some arteries of the neck were affected causing significant blood loss that led to her death among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	In the village of Tarnavell there lived a baker who was kinder than anyone else in town. He came across a heavy stone carried by a man passing through his estate; this stone was large and cumberspectively, he took it upon himself to help lift the weight off the traveler's shoulders. By working together with the stranger, they were able to move the heavy stone up a steep hill, ensuring their safe passage.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	Oh yes, I can translate that to you! Here's the translation in modern English:
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Another surgeon in our land received payment of one ducat to perform surgery and happened upon a black cradle which was used for fractures; however, due to the surgeon'amoor ignorance, he misplaced the fracture on the shelf, using pillows and splints with excessive tension, and failed to properly immobilize it.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The lord should always follow their own desires and interests, leading his people away from the truth through deception and deceit over many years; and it is so that evil comes to pass, and they fall into ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then I called upon Him, and He provided me with the comfort of His embrace, granting me peace and easement from my pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the contagion was already confirmed in the member, so he could not restrain it; and thus the corruption continued to spread throughout the affected limb due to the worsening ailment.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain physician caused a cancerous boil to form and become an ulcer close to the ears of days; during which time the vile nature of his lord was greatly magnified.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The main cause for me to feel melancholamo is that, in these times, I do not see myself progressing towards my goal of becoming the best version of myself, but rather as a member who feels overwhelmed by everything being around me.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	EPA water quality standards are essential for ensanguinati to ensure that the operation is divided into two phases: one phase is associated with health and the other involves risks in major infrastructures.
