Ayssi comensan las paraulas de Albucasim .	Aysa begins to understand the words of Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Dear son, as you complete this book, which is the last of the medical science series I have acquired for your use and benefit from it; also due to your expositions and statements, it seems appropriate that I present to you this treatise, which forms a part of my surgical work.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work of this operation was totally abandoned in our realm and time, within which very few knew about it; and only some small descriptions are found in the books of antiquity, which turned into larger errors and heresies due to misunderstanding those accounts, thereby extending the period and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you wish to revive those ordinances of this treatise through the method of exposition and declaration as well as abbreviation; so it comes with regards to the forms of tools for fastening and other instruments of work along with their addition by means of explanation, and preparation for use, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Mays it is not an excuse for the artist who does not have the skill in this our time, because the art of medicine is long and requires its practitioners to be trained in the science of anatomy which Gualterus knew about knowing the movements of limbs, their shapes, connections, separations; he had knowledge of bones, nerves, muscles, and names of them, as well as their functions. He also knew about veins that pulsate and those that are quiet, and places where blood circulates in them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	A Phrase D'Aquos qui Amat Vnum Est Modus, Maius En Labore Parvo Et Magis In Artis Majestatis
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the beginning of this book, we have told you about that in the introduction; for those who are not knowledgeable about anatomy will fall into error from which many men perish, as I have seen too often, since these individuals claim to be educated in this science and discard it without understanding its principles through their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a physician fold his hands and intend to infect an abscess on the neck of a woman, causing some arteries in her neck to bleed profusely until she died among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I see another knight who had taken from the passing man, a stone of a person who was executed in his estate; and the stone was large, but he took it and split that stone with one thrust of his scabbard, so that on the third day that man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I heard the name of that place and realized, due to the size of the stone and the condition of illness, that she would die soon.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A certain surgeon received a fee of one ducat from our land's lord to perform surgery; however, he encountered a black cyst that was causing the issue in question. The surgeon made his ignorance evident and recklessly tore open the fracture on top of the bone, using pillows and plates with strong tension but did not alleviate the pressure from the wound'amoeba'.
