Ayssi comensan las paraulas de Albucasim .	"Ayssi begins the conversation with Albucasim."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, you have completed this free book of mine, which is the last in the field of medicine science, dedicated to its compliment by me, and enriched with my explanations and declarations, I see that you've tackled this complex subject related to surgery as a whole.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	In our region and in our times of general privacy, it is unfortunately so that science lies prostrate before us, and I have observed this with my eyes; and they did not depart from him but only made a few descriptions in the ancient books, which I have changed most and brought them closer to these errors and hardened their intentions, making the force of his words and art elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that you have lived the order I commanded in this tractate on this path of exposition and explanation and abbreviation; and for what reason I added the tools of cautery and other instruments related to it as well as its addition due to the declaration, and preparation necessary for him.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May's cause for not being considered an extraordinary artist in her time is that the field of medicine was long and it left little room for scientific activities at the moment; however, Galen acknowledged the knowledge of the benefits of the limbs and their forms, as well as the connection and separation of them. He understood the consciousness of bones, nerves, and muscles, including the number, structure, and location of these elements, as well as arteries, veins (pulsating ones), and others in the body's system.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	E per água disse Ipse quem é o nome deste, mas pequeno na obra, mas principalmente no arte da medicina.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have said about that person in the introduction of this book; who is not aware of what we have told about anatomy, will not be exempt from falling into error due to which people may die as a result, so I have seen many times such people formed in this science and relied on their own knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a writer depicted an episode where a doctor performs an abortion on a woman by puncturing her cervix and damaging some arteries in the uterus. As a result, significant bleeding occurred inside her body, leading to her death within several days.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only wanted to grab a stone from a person whom he had processed in his state, and the stone was big. So they grabbed that stone away from him with one of their companions, so that this person died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You already called me out as a stray, and because of the size of the stone and its menacing attitude, I knew that if pushed further, I would surely die there.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	There was another surgeon in our land who would take a salary from one of our dukes to perform surgery. And once he even operated on a black man with whom he had an agreement for the fracture in his shoulder joint, and due to his ignorance, he dug into the wound without proper technique, using heavy instruments like plungers and sticks, causing further injury to the blood clot.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Yes, let me recite according to your wishes, and I will provide relief, and the law secures rest on Sundays and other days as commanded; and it is always within the power of the judge that the penalty may be executed. And so we are not guilty before God or man.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	You called upon me, and I prepared to release the bandage, achieving peace and relief from their sorrows.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	The mayor's empire was already confirmed in the member, so they could not prevent that, and therefore did not stop the corruption within the member as long as the warning remained unheeded.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	There was another man who pierced through a wound and it became infected within two days, intensifying the malevolence of his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of severe brain trauma due to melancholic humor is not that the person's whole spirit was lost, but rather it inflicts on its member that suffers from all harm done to them.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	In both scenarios, it is essential for you that the action be divided into two phases: one associated with salvation (associated with life), and another involving work where there is a significant risk involved in major decisions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	You have already exercised this free text in its entirety throughout the place where it is contained in the document in which a performance victory occurred, in which there was an error and fear; therefore, you need to protect it and set up that no one damages its foliage or disrespects you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore, take up your arms in service and care for God, and may your ills bring you prosperity and security.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Through the grace of God, those who are worse off have lost salvation and blessed succession, while laymen suffer terrible hardships in seeking healing, and their weapons make you fear for your life; therefore it is established by your faith and name that you will not be saved from this remaining glory, or eternal damnation.
Gualia ja diyssec en alcunas sieuas monicios:	It seems like there's a typo in the given instruction. If you meant to say "Giá Lua ja diysecs en algunes sieucas monicos," then we could attempt to translate and interpret it, although this still doesn't form coherent English due to apparent typos. However, if you provided an actual question or statement in Portuguese related to monthly income statements, I would be glad to assist with that. Here is how a correctly formatted request in Portuguese might look:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no medical malpractice, because doctors are not unkind."
E yeu ja he devesit aquest libre segontz tres capitols.	You have already read this book in the afternoon for three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the game, and first match in the first series.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered to be sown into the heart of this field, in the forms of instruments and tools used for cauterization, where necessary for surgery.
La divisio de la segonda partida.	The second half of the game.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, dealing with drilling, perforation, use of hammers and crowbars, rain and snow, and extraction of trees and people to those places, ordered various forms of these tools.
Divisio de la tersa partida.	Division of the third round in a match, often referred to as "tercera parte" or "third phase" in Spanish-speaking sports contexts. This segment typically involves more strategic play and can be decisive for teams seeking victory. The specific division might vary depending on the sport (e.g., basketball, soccer) and governing body's regulations. For instance, in a basketball game:
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The Third Capital, responsible for restoration, relocation, and treatment of bricks and facades, as well as order within the head, and shapes of tools among them. Capitol ordered inside each chapter, concerning weight and forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Cauterization of the breast and memory of acute medical treatment are themes in a play.
Am aquel comensa le tractat de tot le libre.	At the beginning of this treatise, everything is considered to be free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The carters were highly praised for their youth and diligence, but unfortunately, it was forbidden to use them in complex tasks due to the potential risks involved. They may have been considered too inexperienced or not fully capable of handling complicated operations safely.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The sermon of the youth's wisdom in knife wielding and night watching is long and verbose, as well as scientific and secretly complex; and they have spoken greatly to many wise people, yet they disagree with each other. I find it sufficient for me a small part of their discourse, as prolonged deliberation does not suit me.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore, let's say that cutting costs completely affects all components universally, unless there are two exceptions, which are the tailing and head components of its material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex case of dry and crusted wounds, those who disagree argue that it is not beneficial to treat them at this stage; rather, they should be treated in opposition to what was initially done for such wounds, which would also not be appropriate for a condition characterized by both its nature and its dryness. Since the nature of the focus (wound) encompasses these qualities, it is appropriate that treatment with dried and deteriorated fluid should be addressed as well.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Anhydrous solution that states the opposite of what is needed justly in all cases of dry and cracked conditions found in human limbs, when you compare the humidity of your body to the completion of the focus, it worsens the condition of men's limbs. (Note: The translation seems a bit unclear due to the original text being in Catalan; however, an attempt has been made.)
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	You speak to me the language of that person who already experienced water at my various locations.
