Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking the words of Albukhmain.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, dear children, you have completed this free book of mine, which is the last of medicine science knowledge I acquired through my success in it and its expositions, and declarations made by me. It has shown me that you have complexly dealt with this subject matter related to surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	In our region and in our times of total privacy, I have prostrated myself before the work of him, and looked at it without fear; and they did not tear down from him any small descriptions in ancient books, which I mostly corrected to those errors and concealment that are contained therein. And as a result, the intentions of him were closed and his power was extended and strengthened by art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that you have brought up the matter of this order from her in the second part of the treatise following the explanation and declaration parts, as well as the abridgement. Therefore, for its fulfillment with the tools of cautery and other instruments used in the work, along with its additional value due to the declaration, and preparation by me, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May's cause for not being an atrocious artist of the time is that the field of medicine was long, and it required the physician to exercise in the science of anatomy, which Gautier knew well enough about the benefits of body parts and their forms; he had knowledge of bones, nerves, and limbs, as well as their number, structure, and relationship. He also understood veins pulsating and those that were not, lymph nodes, and locations in the body's immune system.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	EPER AQUO DICTS YPOPHARES THAT I AM MOTIVATED BY ME, BUT IN THE WORK LITTLE, AND MAINLY IN THE ART OF IT.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have said about that person at the beginning of this book; whoever is not aware of what we told him regarding anatomy, they will fall into a mistake and thus people with this knowledge could end up causing deaths, as I have seen many times like them, who were molded in this science and relied on their own scientific knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a playwright penned this scene wherein an experienced surgeon intervenes during the harvesting of a woman's vagina, causing an escharotomy on her vulva. The surgeon then damages several arteries in the area to cause significant bleeding inside, resulting in the woman dying within hours.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only swore that he would eat a stone from a person whom he had processed in his state, and the stone was big. And they took this stone away to him as a punishment, so that day this person died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You called me out as an estranged one, and because of the greatness of the stone and its dismal attitude, I understood that underneath it, death would be waiting for me.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A different man took the salary of our duke for surgery and thereupon he inflicted a black crush on him, causing a fracture in his shoulder joint. Due to his ignorance, he started cutting the fracture over the blood clot with heavy instruments, but failed to properly drain the clot.
