Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Al-Baghdadi.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, let me fulfill this book to you as the final part of the science of medicine, for the completion of which your health is sought, and through its exposition, and through your declarations, I see it necessary to complete this treatise that I am presenting to you, which is a part of my work, so it's surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on the hand is confined in our region and in our times to be private, through which great danger prevails in the science of it, and its vestiges are remaining; and one would not have heard much about it had there been no occasional small descriptions in the books of the Ancients, which corrected their most errors and misconceptions in which the understanding of it is confined and the effort goes beyond its force and skill.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I should vivify this order of this treatise according to the way of exposition, declaration and abbreviation; and for bringing it up with the forms of the tools of cautery and other workshop instruments like adding a declaration, and for preparing them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why not many skilled craftsmen are found in their hands in our time is that the art of medicine is extensive, and one needs to be trained before becoming proficient in the science of anatomy which Gualia describes where he knew the joints of the limbs and their forms, as well as their connection and separation; and had knowledge of bones, nerves, and blood vessels, their number, and their function; and of pulsating veins and quiet ones, and the sites for their insertion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that's why it is said by Hippocrates that in his name, the operation exists, but more so in practice and predominantly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we have already mentioned this in the introduction to this book; whoever does not know what we have said about anatomy, cannot be excused from falling into error which can lead to the death of men, as I have seen too many of them, where some are formed in this science and abandon it for their own science and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a surgeon who has been involved in treating an abscess of the scrophula on a woman's neck and cut some neck arteries causing large amounts of blood to flow, resulting in her death amidst his patients.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who was about to take out a stone from a man who had been suffering in his state, and the stone was large, it came out alive and dried that stone with a piece of bladder, as a result, that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already attempted to remove that, and I saw that due to the size of the stone and the position of the patient underneath him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another surgeon who was taking payment from the Duke of our land for surgery, and he attended to a black soldier who had broken his leg in the thigh area; the surgeon, due to his lack of knowledge, removed the fracture, on the wound, with splints and pins made of strong material, and did not allow air into the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he then removes it according to his wishes, and then he dresses the wound, and allows him to rest for several days as instructed to remove the bandage; this also occurs when bone and flesh have formed an abscess, leading to loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I have attempted to do this, and I was able to remove the bandage, thus achieving calmness and alleviation of her pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption had been confirmed in the limb, so I could not contain it and it did not stop spreading the corruption throughout the limb while the patient's life was at risk.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another surgeon who punctured an abscess of cancerous origin, and became inflamed within several days, causing great concern for the lord of his patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the disease affects only melancholic humor, so it does not penetrate through every part of the body, but rather targets a limb that allows everything to be affected from within.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, children, it is necessary for you that the operation on your hand be divided into two: one associated with health and another where danger lies in major positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already established this throughout this book in which there is an operation where errors and fears occur; so it is necessary for you to keep this in mind and refrain from this, so the pages do not slander or defame you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons for solicitude and protection of God, and your patients for happiness and strength.
